Case ID,Activity,Timestamp
SKU-10054 - Logística del Norte,Detección de Necesidad,2025-11-01 09:36:00
SKU-10015 - Soluciones Energéticas,Detección de Necesidad,2025-11-01 11:33:00
SKU-10121 - Soluciones Energéticas,Detección de Necesidad,2025-11-01 11:59:00
SKU-10015 - Soluciones Energéticas,Solicitud de Cotizaciones,2025-11-01 12:33:00
SKU-10054 - Logística del Norte,Solicitud de Cotizaciones,2025-11-01 13:36:00
SKU-10121 - Soluciones Energéticas,Solicitud de Cotizaciones,2025-11-01 13:59:00
SKU-10082 - Servicios de Limpieza Integral,Detección de Necesidad,2025-11-01 14:31:00
SKU-10129 - Química del Sur,Detección de Necesidad,2025-11-01 16:38:00
SKU-10082 - Servicios de Limpieza Integral,Solicitud de Cotizaciones,2025-11-01 17:31:00
SKU-10030 - Equipos Médicos S.A.,Detección de Necesidad,2025-11-01 20:26:00
SKU-10129 - Química del Sur,Solicitud de Cotizaciones,2025-11-01 20:38:00
SKU-10030 - Equipos Médicos S.A.,Solicitud de Cotizaciones,2025-11-01 22:26:00
SKU-10015 - Soluciones Energéticas,Comparativa Técnica,2025-11-02 12:33:00
SKU-10015 - Soluciones Energéticas,Negociación de precio,2025-11-02 19:33:00
SKU-10025 - Metalúrgica Central,Detección de Necesidad,2025-11-02 20:57:00
SKU-10025 - Metalúrgica Central,Solicitud de Cotizaciones,2025-11-02 21:57:00
SKU-10121 - Soluciones Energéticas,Comparativa Técnica,2025-11-03 13:59:00
SKU-10082 - Servicios de Limpieza Integral,Comparativa Técnica,2025-11-03 17:31:00
SKU-10129 - Química del Sur,Comparativa Técnica,2025-11-03 20:38:00
SKU-10082 - Servicios de Limpieza Integral,Falta de Información,2025-11-03 22:31:00
SKU-10129 - Química del Sur,Negociación de precio,2025-11-03 22:38:00
SKU-10030 - Equipos Médicos S.A.,Comparativa Técnica,2025-11-03 22:26:00
SKU-10054 - Logística del Norte,Comparativa Técnica,2025-11-04 13:36:00
SKU-10025 - Metalúrgica Central,Comparativa Técnica,2025-11-04 21:57:00
SKU-10030 - Equipos Médicos S.A.,Aprobación de Gasto,2025-11-05 22:26:00
SKU-10082 - Servicios de Limpieza Integral,Solicitud de Cotizaciones,2025-11-05 22:31:00
SKU-10015 - Soluciones Energéticas,Solicitud de Cotizaciones,2025-11-06 19:33:00
SKU-10129 - Química del Sur,Solicitud de Cotizaciones,2025-11-07 22:38:00
SKU-10015 - Soluciones Energéticas,Comparativa Técnica,2025-11-08 19:33:00
SKU-10082 - Servicios de Limpieza Integral,Comparativa Técnica,2025-11-08 22:31:00
SKU-10129 - Química del Sur,Comparativa Técnica,2025-11-09 22:38:00
SKU-10030 - Equipos Médicos S.A.,Emisión PO,2025-11-06 01:26:00
SKU-10030 - Equipos Médicos S.A.,Seguimiento Logístico,2025-11-07 01:26:00
SKU-10121 - Soluciones Energéticas,Aprobación de Gasto,2025-11-07 13:59:00
SKU-10025 - Metalúrgica Central,Aprobación de Gasto,2025-11-08 21:57:00
SKU-10121 - Soluciones Energéticas,Emisión PO,2025-11-07 18:59:00
SKU-10025 - Metalúrgica Central,Emisión PO,2025-11-09 02:57:00
SKU-10121 - Soluciones Energéticas,Seguimiento Logístico,2025-11-08 18:59:00
SKU-10025 - Metalúrgica Central,Seguimiento Logístico,2025-11-10 02:57:00
SKU-10015 - Soluciones Energéticas,Aprobación de Gasto,2025-11-12 19:33:00
SKU-10082 - Servicios de Limpieza Integral,Aprobación de Gasto,2025-11-12 22:31:00
SKU-10129 - Química del Sur,Aprobación de Gasto,2025-11-13 22:38:00
SKU-10121 - Soluciones Energéticas,Ingreso a Almacén,2025-11-14 18:59:00
SKU-10030 - Equipos Médicos S.A.,Ingreso a Almacén,2025-11-15 01:26:00
